Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.90     0.00   162093     0.00     0.00  InverseFlowPair* std::copy<std::move_iterator<InverseFlowPair*>, InverseFlowPair*>(std::move_iterator<InverseFlowPair*>, std::move_iterator<InverseFlowPair*>, InverseFlowPair*)
  0.00      1.90     0.00   156270     0.00     0.00  __gnu_cxx::new_allocator<InverseFlowPair>::deallocate(InverseFlowPair*, unsigned long)
  0.00      1.90     0.00   156270     0.00     0.00  __gnu_cxx::new_allocator<InverseFlowPair>::allocate(unsigned long, void const*)
  0.00      1.90     0.00   156270     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >::_M_check_len(unsigned long, char const*) const
  0.00      1.90     0.00   136947     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::deallocate(std::__detail::_Hash_node_base**, unsigned long)
  0.00      1.90     0.00   136947     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::allocate(unsigned long, void const*)
  0.00      1.90     0.00   136947     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::max_size() const
  0.00      1.90     0.00   136947     0.00     0.00  __gnu_cxx::new_allocator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >::max_size() const
  0.00      1.90     0.00   136947     0.00     0.00  std::__allow_copy_cons<true>::__allow_copy_cons()
  0.00      1.90     0.00   136947     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      1.90     0.00   136947     0.00     0.00  std::__detail::_Prime_rehash_policy::_Prime_rehash_policy(float)
  0.00      1.90     0.00   136947     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_Hashtable_ebo_helper(std::equal_to<int> const&)
  0.00      1.90     0.00   136947     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_Hashtable_ebo_helper(std::hash<int> const&)
  0.00      1.90     0.00   136947     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_Hashtable_ebo_helper(std::__detail::_Mod_range_hashing const&)
  0.00      1.90     0.00   136947     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      1.90     0.00   136947     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      1.90     0.00   136947     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  0.00      1.90     0.00   114698     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >::begin()
  0.00      1.90     0.00   102944     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      1.90     0.00   102944     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      1.90     0.00   102944     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true> const&)
  0.00      1.90     0.00   102944     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      1.90     0.00    97121     0.00     0.00  __gnu_cxx::new_allocator<InverseFlowPair>::new_allocator()
  0.00      1.90     0.00    97121     0.00     0.00  std::allocator<InverseFlowPair>::allocator()
  0.00      1.90     0.00    97121     0.00     0.00  std::_Vector_base<InverseFlowPair, std::allocator<InverseFlowPair> >::_Vector_impl::_Vector_impl()
  0.00      1.90     0.00    97121     0.00     0.00  std::_Vector_base<InverseFlowPair, std::allocator<InverseFlowPair> >::_Vector_base()
  0.00      1.90     0.00    97121     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >::vector()
  0.00      1.90     0.00    91300     0.00     0.00  std::vector<int, std::allocator<int> >::data()
  0.00      1.90     0.00    91300     0.00     0.00  std::vector<int, std::allocator<int> >::front()
  0.00      1.90     0.00    91300     0.00     0.00  int* std::__addressof<int>(int&)
  0.00      1.90     0.00    91298     0.00     0.00  recv_inverse_flow(std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >&, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >&, ompi_communicator_t*)
  0.00      1.90     0.00    91298     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> >::new_allocator()
  0.00      1.90     0.00    91298     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> >::~new_allocator()
  0.00      1.90     0.00    91298     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int const, int> >::new_allocator()
  0.00      1.90     0.00    91298     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int const, int> >::~new_allocator()
  0.00      1.90     0.00    91298     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<InverseFlowPair> >::_S_select_on_copy(std::allocator<InverseFlowPair> const&)
  0.00      1.90     0.00    91298     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*, std::vector<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >, std::allocator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > > > >::__normal_iterator(std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >* const&)
